obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1987_science_action_en,latour,inscription,inscriptions,76,187949,independently from the text; they could have been invented. (1),Inscriptions,What do we find when we pass through the looking,0
latour_1987_science_action_en,latour,inscription,inscription,81,199342,when entering any laboratory. I will call an instrument (or,inscription,"device) any set-up, no matter what its size, nature and",0
latour_1987_science_action_en,latour,inscription,inscription,81,199991,sophistication but only by this characteristic: the set-up provides an,inscription,that is used as the final layer in a scientific,0
latour_1987_science_action_en,latour,inscription,inscriptions,82,202963,data on the economy is an instrument if it yields,inscriptions,"for papers written in economic journals with, for instance, a",0
latour_1987_science_action_en,latour,inscription,inscriptions,82,204483,"mobilised to activate them, how many authors are using the",inscriptions,"they provide in their papers, how controversial are those readings",0
latour_1987_science_action_en,latour,inscription,inscriptions,82,204742,or several instruments together. What is behind a scientific text?,Inscriptions,How are these inscriptions obtained? By setting up instruments. This,0
latour_1987_science_action_en,latour,inscription,inscriptions,82,204770,What is behind a scientific text? Inscriptions. How are these,inscriptions,obtained? By setting up instruments. This other world just beneath,0
latour_1987_science_action_en,latour,inscription,inscription,82,205815,is a corollary to this change of relevance on the,inscription,"devices depending on the strength of the controversy, a corollary",0
latour_1987_science_action_en,latour,inscription,inscriptions,83,206511,huge accumulation of resources which permits the collection of relevant,inscriptions,What makes the differences between author and reader is not,0
latour_1987_science_action_en,latour,inscription,inscription,83,207526,watching the place where the thing is writing itself down,inscription,"in the form of collection of specimens, graphs, photographs, maps",0
latour_1987_science_action_en,latour,inscription,inscriptions,85,210923,attending an 'audio-visual' spectacle. There is a visual set of,inscriptions,produced by the instrument and a verbal commentary uttered by,0
latour_1987_science_action_en,latour,inscription,inscriptions,85,211698,"more than what is inscribed, but without their commentaries the",inscriptions,say considerably less! There is a word to describe this,0
latour_1987_science_action_en,latour,inscription,inscriptions,89,225155,and further into the details of what makes up the,inscriptions,used in technical literature. Let us continue the question-and-answer session,0
latour_1987_science_action_en,latour,inscription,inscriptions,93,235976,"bring in more and more papers. Behind these articles? Graphs,",inscriptions,"labels, tables, maps, arrayed in tiers. Behind these inscriptions? Instruments,",0
latour_1987_science_action_en,latour,inscription,inscriptions,93,236043,"Graphs, inscriptions, labels, tables, maps, arrayed in tiers. Behind these",inscriptions,"Instruments, whatever their shape, age and cost that end up",0
latour_1987_science_action_en,latour,inscription,inscriptions,93,236691,only instruments to generate endless numbers of newer and clearer,inscriptions,"but, behind the instruments, new objects are lined up which",0
latour_1987_science_action_en,latour,inscription,inscriptions,95,242018,takes up to a week to complete- but it gives,inscriptions,at the end that may be said to be more,0
latour_1987_science_action_en,latour,inscription,inscriptions,95,243056,"biology, immunology and the physics of radioactivity. Nitpicking at the",inscriptions,"is possible but less reasonable, the heckler needing more resources",0
latour_1987_science_action_en,latour,inscription,inscriptions,101,261600,"ultimate source of strength. Behind the texts, they have mobilised",inscriptions,and sometimes huge and costly instruments to obtain these inscriptions.,0
latour_1987_science_action_en,latour,inscription,inscriptions,101,261672,"inscriptions, and sometimes huge and costly instruments to obtain these",inscriptions,But something else resists the trials of strength behind the,0
latour_1987_science_action_en,latour,inscription,inscriptions,109,285243,conveying this formidable ally. We might accept these ideas of,inscriptions,"your emphasis on controversies, and also perhaps the notions of",0
latour_1987_science_action_en,latour,inscription,inscription,239,653025,"cross purposes, so to speak, than their interest in the",inscription,The accumulation that will generate an asymmetry hinges upon the,0
latour_1987_science_action_en,latour,inscription,inscriptions,239,653386,herbaries. Everything depends on them: L'Astrolabe can sink provided the,inscriptions,survive and reach Versailles. This ship travelling through the Pacific,0
latour_1987_science_action_en,latour,inscription,inscriptions,239,653607,"other hand, are not all that interested in maps and",inscriptions,because they are unable to draw them (on the contrary,0
latour_1987_science_action_en,latour,inscription,inscriptions,239,653747,their abilities surprise Lapérouse very much) but simply because the,inscriptions,are not the final goal of their travel. The drawings,0
latour_1987_science_action_en,latour,inscription,inscriptions,239,654023,important in themselves. The fishermen are able to generate these,inscriptions,at will on any surface like sand or even on,0
latour_1987_science_action_en,latour,inscription,inscriptions,239,654683,movement is enough and the different emphasis they put on,inscriptions,ensues. The map drawn on sand is worthless for the,0
latour_1987_science_action_en,latour,inscription,inscriptions,250,690146,(which is too much for anyone to handle). So new,inscriptions,and labelling procedures have to be devised to limit this,0
latour_1987_science_action_en,latour,inscription,inscription,251,693209,"birds, only dead corpses or animals in chains. The new",inscription,device brought the living objects to their desks with one,0
latour_1987_science_action_en,latour,inscription,inscription,254,700820,"and observed the setting up of new observatories, of new",inscription,"devices and of new probes, we are now led back",0
latour_1987_science_action_en,latour,inscription,inscriptions,254,702225,"time an instrument is hooked up to something, masses of",inscriptions,"pour in, tipping the scale once again by forcing the",0
latour_1987_science_action_en,latour,inscription,inscriptions,255,703434,as its first consequence their drowning in a flood of,inscriptions,"and specimens. By itself, the mobilisation of resources is no",0
latour_1987_science_action_en,latour,inscription,inscriptions,255,703748,Patagonia or in Chile. This flooding of investigators by the,inscriptions,"is, so to speak, a revenge of the mobilised world.",0
latour_1987_science_action_en,latour,inscription,inscriptions,255,704154,to be done inside the centres to mop up the,inscriptions,and reverse the balance of forces once more. I defined,0
latour_1987_science_action_en,latour,inscription,inscriptions,256,706723,columns or from holes in punch cards. New fourth degree,inscriptions,(percentages for instance or graphs or pie charts) have to,0
latour_1987_science_action_en,latour,inscription,inscription,256,706964,"their features. This cascade of fourth, fifth and nth order",inscription,"will never stop, especially if the population, the computers, the",0
latour_1987_science_action_en,latour,inscription,inscription,256,707163,"Bureau all grow together. In all cases, the nth order",inscription,will now stand for the nth -1 order paper forms,0
latour_1987_science_action_en,latour,inscription,inscription,256,707556,will allow dissenters to go back from the nth final,inscription,"to the questionnaires kept in the archives and, from it,",0
latour_1987_science_action_en,latour,inscription,inscriptions,256,708026,enough to define the additional work necessary to transform the,inscriptions,What shall we call this work? W e could say,0
latour_1987_science_action_en,latour,inscription,inscriptions,256,708192,to establish longer networks; or to simplify yet again the,inscriptions,or to build up a cascade of successive representatives; or,0
latour_1987_science_action_en,latour,inscription,inscriptions,258,713169,slight enhancement of one of the three qualities of the,inscriptions,"namely mobility, stability and combinability. First, the gain does not",0
latour_1987_science_action_en,latour,inscription,inscriptions,258,715289,some of the tools that make the additional treatment of,inscriptions,possible. There exist a few others that have received both,0
latour_1987_science_action_en,latour,inscription,inscriptions,259,717032,devices that continue to solve the major problems of the,inscriptions,"mobility, combinability and faithfulness. So is the invention of sampling.",0
latour_1987_science_action_en,latour,inscription,inscription,259,718124,these sentences be more firmly tied together in an n+1,inscription,Instead of ticking boxes in tables we are going to,0
latour_1987_science_action_en,latour,inscription,inscriptions,260,720220,and similarities are recombined as well as what types of,inscriptions,one should believe more than others. Although this is indeed,0
latour_1987_science_action_en,latour,inscription,inscriptions,261,722464,his work with paper and pencil on the nth degree,inscriptions,No more than in the story of King John (see,0
latour_1987_science_action_en,latour,inscription,inscriptions,261,723414,comes the main logistical advantage provided by writing down all,inscriptions,"in equation form. To calculate how much copper he needed,",0
